SampleID,exp_nr,Cultivar,rep,Soil_type,Functinoal_group,Select_FT,shoot_length_cm,root_length_cm,shoot_dry_weight_g,root_dry_weight_g,leaf_metabolite_richness,leaf_metabolite_evenness,leaf_metabolite_composition_axis1,root_exudate_richness_median,root_exudate_shannon_median,root_exudate_evenness_median,root_exudate_composition_axis1_medain,Bac_richness,Bac_shannon,Bac_simpson,Phylogenetic_diversity,Bac_evenness,Bac_axis1,Bac_axis2,Fun_richness,Fun_shannon,Fun_simpson,Fun_evenness,Fun_axis1,Fun_axis2
S1_16S,1,Ballade,1,rhizo,c,no,6.5,33,0.63,0.094603053,74,0.90154648,0.184257341,31,3.158433102,0.919756806,0.180780622,1124,6.373491529,0.996191127,87.82557145,0.90730391,-0.032864927,0.06762625,422,4.399243507,0.963439591,0.727748493,0.073336252,0.021382572
S10_16S,10,Jelly,1,rhizo,d,d,17,33,0.494,0.115341505,84,0.897445949,0.074647887,22,2.623614948,0.848779979,-0.1525734,974,6.105884838,0.996399836,78.20155297,0.887301248,-0.003416587,-0.111959772,416,4.220728722,0.949039725,0.699875477,-0.17048293,0.007423449
S100_16S,100,Zenia,2,rhizo,b,no,15.5,31,0.4,0.092743515,82,0.940601002,-0.061672782,28,2.736239736,0.821150001,0.120992751,1550,6.676048339,0.996075048,98.97126376,0.908799219,-0.032215469,0.075386239,438,4.64107127,0.979398784,0.763055611,0.060244588,0.01914607
S101_16S,101,Atlantic,2,rhizo,b,no,15.5,32,0.497,0.135909178,82,0.920894451,-0.003600841,35,3.132821677,0.881157519,0.271599104,1386,6.540311397,0.995579263,91.79784088,0.904085044,-0.002318369,0.11388565,436,4.685509755,0.978854624,0.770942015,0.072803448,0.016587203
S102_16S,102,Orlik Cs,2,rhizo,b,no,23.5,12.7,0.096,0.0224,79,0.936342239,-0.299418174,29,2.803230805,0.832487238,0.10932581,1294,6.456872762,0.995713175,89.84268299,0.901106502,-0.102289965,-0.033279519,432,4.215716008,0.952772927,0.694696828,-0.009303669,-0.051142658
S103_16S,103,King Edward Vii,3,rhizo,b,no,28,30,0.747,0.077112529,82,0.932611975,-0.105334974,33,3.117210976,0.891521303,0.202140807,1110,6.427275722,0.99550298,81.38761075,0.916595842,0.028110908,0.094080218,424,4.551081674,0.974900377,0.752278048,0.037479026,0.146385551
S104_16S,104,Sagitta,3,rhizo,d,no,11,25,0.361,0.051664792,83,0.916426671,-0.060572061,24,2.604259684,0.819451093,-0.045081286,874,6.069020327,0.995837211,70.54301914,0.896050245,0.157865059,-0.095482798,416,4.675013896,0.981017179,0.775204424,0.069538728,0.040191318
S105_16S,105,Kama,3,rhizo,b,b,18,35,0.242,0.070947528,84,0.932361063,-0.006062351,32,3.143651692,0.907066141,0.278192321,1271,6.475470777,0.996185552,89.55639669,0.905969511,0.003816105,0.100456775,389,4.153660957,0.957950633,0.696504686,-0.005263589,0.131699957
S106_16S,106,Zagloba,3,rhizo,d,no,16,18,0.312,0.067262924,83,0.916491636,0.000620823,20,2.551346712,0.851660455,-0.140322483,1140,6.386843301,0.996699518,82.17650274,0.907378848,0.030027833,0.075790923,430,4.672665727,0.981543842,0.770585627,0.060941067,0.113146577
S107_16S,107,Fianna,3,rhizo,d,no,17,33,0.334,0.110723367,82,0.904821425,0.136739881,17,2.31859947,0.818363882,-0.294137171,1264,6.553571158,0.996327566,87.27616409,0.917605376,-0.023535033,0.08369443,444,4.656393382,0.975024493,0.763866042,-0.02924414,-0.042762734
